Council,ACLG Code using Population Data as at 30 June 2015,Area (Hectares),Estimated Resident Population as at 30 June 2015 (exculding unincorporated areas),Council Employees (FTE),Sealed Roads (Km),Unsealed Roads (Km),Unsealed Laneways (Km),Total Roads Including Laneways as at 30 June 2015 (Km),Total Roads Including Laneways as at 30 June 2015 (Km),Number of Rateable Properties as at 1st January 2014,(3) Number of Rateable Properties as at 1st January 2015,Number of Rateable Properties as at 1st January 2016,Capital Value of Properties within Council Area as at 1st January 2014 ($ mill),(4) Capital Value of Properties within Council Area as at 1st January 2015 ($ mill),Capital Value of Properties within Council Area as at 1st January 2016 ($ mill)
Adelaide,UCC,1524,23169,792,123,4,0,0,127,22159,22512,22829,14251000000,14283000000,14392000000
Adelaide Hills,UFM,79246,40031,155,613,2.8,388,0.7,1005,17578,17253,17286,84490,87670,88300
Alexandrina,UFS,182558,25449,177,554,2.1,817,0,1374,18145,18040,18171,63860,66770,67040
Barossa,UFS,89138,23104,129,346,0.1,628,0,974,12477,12437,12507,43380,45120,46310
Barunga West,RAM,158149,2434,21,72,0,854,0,926,2669,2681,2684,10380,10240,10530
Berri Barmera,RAV,50736,10419,64,272,1.4,198,12.7,485,6225,6140,6152,11840,11950,11920
Burnside,UDM,2742,45034,161,229,5.4,5,0,240,21564,20676,20709,139880,144570,148730
Campbelltown,UDM,2428,51889,144,255,0.1,0,0,255,23263,22831,23007,95160,98660,102600
Ceduna,RAM,543306,3716,36,77,0,1638,0,1715,2260,2257,2260,5190,5310,5350
Charles Sturt,UDL,5550,114209,459,576,2.8,1,0,580,56463,54896,55269,242780,246600,255380
Clare & Gilbert Valleys,RAL,188560,9057,53,234,0.4,1598,0,1832,6727,6702,6742,23050,23500,23580
Cleve,RAS,499952,1795,23,101,0.1,1445,0,1546,1449,1503,1513,4960,5470,5490
Coober Pedy,URS,7752,1801,55,30,0,391,0.2,421,1575,1577,1575,1730,1740,1750
Coorong,RAL,886280,5556,55,361,0.1,1532,0,1894,4199,4271,4320,13000,13030,14020
Copper Coast,RAV,77601,14114,89,275,2.9,675,4.2,957,11694,11591,11681,31670,32670,32990
Elliston,RAS,667874,1066,13,44,0,1104,0,1148,1289,1270,1277,3630,3720,3720
Flinders Ranges,RAS,410645,1608,27,38,0,1225,0,1262,1711,1645,1653,2340,2330,2300
Franklin Harbour,RAS,276676,1234,18,76,0,707,0,783,1206,1153,1145,2920,2600,2610
Gawler,UFS,4102,22618,104,176,1,20,2.7,200,10746,10675,10857,31060,32470,33300
Goyder,RAM,668787,4232,38,160,0.3,3088,0,3248,4338,4326,4324,10620,10760,10940
Grant,RAL,191704,8235,69,492,0.1,1077,0,1569,5258,5272,5329,20390,19710,18870
Holdfast Bay,UDM,1445,37263,324,172,6.9,0,0.5,179,21436,20167,20235,103110,107470,110650
Kangaroo Island,RAM,443438,4611,58,256,0,1107,0.2,1362,5468,5427,5450,14400,14430,14510
Karoonda East Murray,RAS,440868,1014,19,130,0,1169,0,1299,1110,1100,1098,2540,2550,2500
Kimba,RAS,396640,1097,17,100,0,1615,0,1716,885,884,884,2730,2820,2820
Kingston,RAM,335110,2363,18,125,0.2,618,0,744,2578,2576,2587,9980,10020,10010
Light,RAV,127273,14841,71,176,0,1283,1.7,1461,7583,7616,7665,29790,30440,30590
Lower Eyre Peninsula,RAL,475525,5087,35,144,0,1200,0,1344,3934,3960,3990,16960,17500,17560
Loxton Waikerie,RAV,796386,11462,81,415,0,1889,0,2304,7690,7555,7573,16790,17170,17170
Mallala,RAL,93184,8750,55,156,0,805,0.1,961,4749,4767,4804,15420,16000,16190
Marion,UDL,5605,88983,326,474,0.6,0,0,475,42839,41419,41707,159910,165930,172600
Mid Murray,RAL,625242,8243,98,331,2.2,3060,0,3394,10272,10106,10148,20490,20810,20830
Mitcham,UDM,7551,66347,256,402,2.9,1,4.5,411,29131,28457,28517,141570,144730,150570
Mount Barker,URM,59345,32558,149,352,0.5,423,0,776,15433,15377,15656,56880,60600,61980
Mount Gambier,URS,3420,26348,116,222,0.4,2,0,224,14145,13957,14078,31700,32250,32120
Mount Remarkable,RAM,344116,2773,35,110,0,1958,0,2067,3099,3094,3112,6100,6070,6150
Murray Bridge,URS,182434,20971,180,440,0.1,536,0.2,976,11688,11640,11698,27030,27880,27960
Naracoorte Lucindale,RAL,453117,8390,71,476,0.6,1138,0,1615,6146,6091,6124,20990,21030,20740
Northern Areas,RAM,297409,4488,51,137,0,2065,0,2202,4122,4104,4123,13270,13480,13630
Norwood Payneham & St Peters,UDM,1512,37350,127,160,12.5,0,0,172,20558,19545,19592,106640,109420,113780
Onkaparinga,UFV,51887,168798,664,1276,7.8,194,0.1,1478,77293,76897,77425,249730,256980,258290
Orroroo Carrieton,RAS,330629,852,14,59,0,1569,0,1628,1292,1288,1297,1780,1790,1770
Peterborough,RAS,300616,1673,33,40,0,1191,0,1231,1678,1672,1673,1770,1780,1780
Playford,UFL,34434,88222,432,730,3.8,97,0,830,38109,38055,38569,96750,97920,98100
Port Adelaide Enfield,UDV,9388,123754,417,680,1.7,4,0,686,61826,60584,61005,225830,230590,237070
Port Augusta,URS,118855,14522,222,195,0.7,216,0,411,7556,7629,7634,16130,16490,16440
Port Lincoln,URS,3204,14984,53,151,0.5,8,0,159,8393,8149,8177,23580,23760,23870
Port Pirie,RAV,179230,17540,95,309,0.1,1045,0,1354,10207,10076,10090,21290,21180,21410
Prospect,UDS,779,21416,74,87,3.5,0,0,91,10050,9656,9684,46850,48260,50260
Renmark Paringa,RAL,90003,9230,49,307,0.4,173,0,480,5323,5313,5323,12050,12390,12630
Robe,RAS,109837,1428,26,41,0.2,394,0,435,2313,2322,2323,9220,9380,9400
Roxby Downs,URS,11000,5078,44,34,0,4,0,39,1982,1977,1976,7020,6860,6170
Salisbury,UDV,15920,138535,464,816,2.1,6,0,824,58888,58462,58856,177000,185160,186500
Southern Mallee,RAM,570227,2058,37,115,0,1216,0.8,1332,1736,1698,1696,4290,4230,4260
Streaky Bay,RAM,624070,2249,25,96,0,1637,0,1733,2316,2295,2300,4900,5030,5040
Tatiara,RAL,652519,6631,55,519,0,1413,0,1932,4735,4703,4704,15510,15360,15340
Tea Tree Gully,UDL,9508,98861,353,578,2.4,16,0,597,41913,41499,41648,150830,156370,159950
Tumby Bay,RAM,266988,2668,21,52,0.2,1057,0,1110,2336,2302,2305,9420,9740,9730
Unley,UDM,1437,39324,189,165,5.7,0,0,170,19470,18662,18721,115290,116490,123710
Victor Harbor,URS,38633,15169,100,256,0.6,145,0,402,10719,10469,10473,37480,37460,37030
Wakefield,RAL,347894,6886,55,206,0,2480,0,2686,5342,5331,5342,17170,17700,18180
Walkerville,UDS,356,7673,32,35,0.7,0,0,36,3606,3861,3887,24630,26510,27700
Wattle Range,RAV,394602,11460,96,516,1.7,1927,2.4,2447,8958,8921,8938,28490,28460,27760
West Torrens,UDM,3710,58964,272,290,3.1,0,0.2,293,31129,29604,29713,124590,128680,132160
Whyalla,URS,107168,22759,121,221,3,60,67.6,352,12095,12024,12027,24020,24940,25000
Wudinna,RAS,536908,1282,20,82,0,1608,0,1690,1072,1054,1061,2590,2670,2680
Yankalilla,RAM,75693,4700,47,129,0,415,0,544,5576,5473,5506,17870,17990,18120
Yorke Peninsula,RAV,594610,11018,111,474,0,3416,0,3891,13811,13730,13765,52040,53350,53460
